zip_code,crime_type,Total_crimes
78613,Inj/Child Fv (No Care/Custody),1
78613,Injury To Child,7
78613,Injury To Child (Care/Custody),2
78613,Injury To Elderly Person,1
78613,Inter Emerg Phonecall Fam/Date,2
78613,Interference Public Duties,1
78613,Interfering W/Emerg Phone Call,2
78613,Liquor Law Violation/Other,2
78613,Mail Theft,9
78613,Making Tobacco Avail To Minor,1
78613,Murder,1
78613,Narcotic Possession,40
78613,Nuisance Abatement,1
78613,Obtain Controlled Sub By Fraud,4
78613,Official Oppression,1
78613,Online Impersonation,1
78613,Poss Criminal Instrument,1
78613,Poss Dang Drug,2
78613,Poss Of Alcohol - Age 17 To 20,1
78613,Poss Of Firearm By Felon,2
78613,Poss Of Prohibited Weapon,2
78613,Poss/Promo Child Pornography,1
78613,Possession Of Marijuana,34
78613,Possession of Drug,30
78613,Protective Order,4
78613,Purse Snatching,1
78613,Reckless Damage,8
78613,Resisting Arrest Or Search,1
78613,Robbery By Threat,7
78613,Sit And Lie Ordinance Viol,1
78613,Solicitation - Begging,3
78613,Stalking,5
78613,Tampering With Consumer Prod,1
78613,Tampering With Gov Record,1
78613,Telecommunication Crimes/Other,1
78613,Terroristic Threat,39
78613,Terroristic Threat-Mass Caslty,2
78613,Theft,1972
78613,Theft By Embezzlement,13
78613,Theft By False Pretext/Bunco,2
78613,Theft By Shoplifting,2286
78613,Theft Catalytic Converter,38
78613,Theft From Auto,28
78613,Theft From Building,18
78613,Theft From Person,17
78613,Theft Of Auto Parts,19
78613,Theft Of Bicycle,32
78613,Theft Of Heavy Equipment,1
78613,Theft Of License Plate,41
78613,Theft Of Metal,6
78613,Theft Of Service,103
78613,Theft Of Trailer,10
78613,Tobacco Viol - Age 17,1
78613,Unlawful Carry-Lic Holder,3
78613,Unlawful Carrying Weapon,6
78613,Unlawful Restraint,1
78613,Unlawful Restraint Fam/Dat Vio,1
78613,Urinating In Public Place,4
78613,Viol City Ordinance - Curfew,1
78613,Viol City Ordinance - Dog,4
78613,Viol City Ordinance - Sound,1
78613,Viol City Ordinance - Wrecker,4
78613,Viol Of Bond Conditions,2
78613,Viol Of Court Order-Non Epo-Po,2
78613,Viol Of Emerg Protective Order,2
78613,Viol Of Protective Order,4
78613,Viol State Law - Other,11
78613,Violation City Ordinance,8
78613,Voco - Alcohol  Consumption,1
78613,Voco Solicitation Prohibit,13
78613,Warrant Arrest Non Traffic,44
78617,Abandoned Refrigerator,1
78617,Abuse Of 911,2
78617,Agg Aslt Enhanc Strangl/Suffoc,10
78617,Agg Aslt W/Motor Veh Fam/Dat V,9
78617,Agg Assault On Public Servant,1
78617,Agg Assault With Motor Veh,15
78617,Agg Kidnapping,1
78617,Agg Promotion Of Prostitution,1
78617,Agg Robbery By Assault,4
78617,Aggravated Assault,346
78617,Aggravated Robbery,106
78617,Airport - Criminal Trespass,1
78617,Airport - Federal Viol,1
78617,Applic To Revoke Probation,62
78617,Arson,13
78617,Arson-Criminal Mischief,3
78617,Assault - School Personnel,4
78617,Assault By Contact,498
78617,Assault By Threat,340
78617,Assault Of Pregnant Wm-Fam/Dat,3
78617,Assault On Public Servant,14
78617,Assault With Injury,1602
78617,Att Auto Theft,3
78617,Att Theft,1
78617,Auto Theft,369
78617,Bomb Threat,1
78617,Breach Of Computer Security,8
78617,Burglary Non Residence,307
78617,Burglary Of Coin-Op Machine,15
78617,Burglary Of Residence,880
78617,Burglary Of Shed/Detached Garage/Storage Unit,49
78617,Burglary Of Vehicle,1082
78617,Camping In Park,1
78617,Child Custody Interfere,147
78617,Child Endangerment- Abandonmen,47
78617,Civil Disturbance/Demo,7
78617,Contribute Delinquency Minor,1
78617,Controlled Sub Viol - Other,2
78617,Counterfeiting,21
78617,Crash/Fail Stop And Render Aid,50
78617,Crash/Intox Manslaughter,1
78617,Crash/Intoxication Assault,2
78617,Cred Card Abuse By Forgery,19
78617,Criminal Conspiracy,1
78617,Criminal Mischief,1110
78617,Criminal Solicitation,1
78617,Criminal Solicitation Of Minor,1
78617,Criminal Trespass,238
78617,Criminal Trespass/In Vehicle,1
78617,Cruelty To Animals,81
78617,Custody Arrest Traffic Warr,313
78617,DWI,283
78617,Damage City Prop,43
78617,Damage City Vehicle,6
78617,Dating Disturbance,79
78617,Deadly Conduct,34
78617,Debit/Credit Card Abuse,159
78617,Del Marijuana,5
78617,Del Of Alcohol To Minor,2
78617,Disruption Of Classes,3
78617,Disruptive Acts At Schools,1
78617,Disturbance - Other,594
78617,Doc Abusive Language,5
78617,Doc Discharge Gun - Pub Place,28
78617,Doc Discharge Gun - Pub Road,7
78617,Doc Display Gun/Deadly Pub Plc,8
78617,Doc Exposure,10
78617,Doc Fighting,35
78617,Doc Offensive Gesture,1
78617,Doc Unreasonable Noise,6
78617,Domestic Violence/Alarm,3
78617,Driving While Intox / Felony,20
78617,Dui - Age 17 To 20,5
78617,Dumping Refuse Near Highway,12
78617,Dwi  .15 Bac Or Above,36
78617,Dwi - Child Passenger,8
78617,Dwi - Drug Recognition Expert,4
78617,Engaging In Organized Crime,1
78617,Escape From Custody,59
78617,Evading / Foot,30
78617,Evading / Vehicle Pursuit,6
78617,Evading Vehicle,13
78617,Expired-Evading Arrest,1
78617,Expired-Injury Child - Elderly,3
78617,Exploitation Of Child/Elderly,2
78617,Explosive Ordnance Disposal,4
78617,Failure To Identify,39
78617,False Alarm Or Report,7
78617,False Report To Cps,1
78617,False Report To Peace Officer,6
78617,False Statement -Obtain Credit,3
78617,Family Disturbance,2937
78617,Federal Viol/Other,11
78617,Felony Enhancement/Asslt W/Inj,89
78617,Forgery - Other,11
78617,Forgery And Passing,65
78617,Forgery By Making,1
78617,Forgery- Certificate Of Title,1
78617,Fraud - Other,138
78617,Fraud-Card Skimmer,3
78617,Gambling,9
78617,Gambling Promotion,4
78617,Graffiti,50
78617,Harassment,702
78617,Harassment Of A Public Servant,3
78617,Harassment Online,2
78617,Harboring Runaway Child,11
78617,Hinder Secured Creditors,3
78617,Hindering Apprehension,1
78617,Identity Theft,187
78617,Illegal Labelling Of Recording,1
78617,Immigration Hold/Arrest,1
78617,Impersonating Public Servant,1
78617,Indecent Assault,17
78617,Indecent Exposure,15
78617,Inhalant Abuse,1
78617,Inj To Disabled  Fam/Date Viol,4
78617,Inj To Elderly   Fam/Date Viol,8
78617,Inj/Child Fv (No Care/Custody),5
78617,Injury Disabled Individual,2
78617,Injury To Child,32
78617,Injury To Child (Care/Custody),26
78617,Injury To Elderly Person,11
78617,Inter Emerg Phonecall Fam/Date,8
78617,Interference Public Duties,2
78617,Interfering W/Emerg Phone Call,3
78617,Kidnapping,1
78617,Liquor Law Violation/Other,7
78617,Littering,6
78617,Mail Theft,18
78617,Manf Controlled Sub - Other,1
78617,Murder,6
78617,Narcotic Possession,221
78617,Nuisance Abatement,5
78617,Obscene Display - Distribution,2
78617,Obtain Controlled Sub By Fraud,2
78617,Official Oppression,1
78617,Online Impersonation,3
78617,Online Solicitation Of A Minor,5
78617,Parole Viol,209
78617,Poss Dang Drug,8
78617,Poss Of Alcohol - Age 17 To 20,5
78617,Poss Of Alcohol-Age 16 & Under,1
78617,Poss Of Firearm By Felon,20
78617,Poss Of Prohibited Weapon,4
78617,Poss Synthetic Marijuana,18
78617,Poss/Promo Child Pornography,9
78617,Possession Of Marijuana,175
78617,Possession of Drug,91
78617,Probation Viol,18
78617,Prostitution,7
78617,Protective Order,78
78617,Prowler,10
78617,Public Lewdness,1
78617,Reckless Damage,12
78617,Rental Car/Fail To Return,1
78617,Resisting Arrest Or Search,23
78617,Retaliation,7
78617,Robbery By Threat,8
78617,Smuggling Illegal Alien,2
78617,Stalking,13
78617,Stay Away Order,1
78617,Tampering With Evidence,1
78617,Terroristic Threat,229
78617,Theft,1322
78617,Theft By Embezzlement,2
78617,Theft By Extortion,1
78617,Theft By Shoplifting,37
78617,Theft Catalytic Converter,45
78617,Theft From Auto,81
78617,Theft From Building,27
78617,Theft From Person,39
78617,Theft Of Auto Parts,33
78617,Theft Of Bicycle,36
78617,Theft Of Heavy Equipment,3
78617,Theft Of License Plate,64
78617,Theft Of Metal,32
78617,Theft Of Service,60
78617,Theft Of Telecommunication Srv,1
78617,Theft Of Trailer,25
78617,Theft- Appropriate Stolen Prop,1
78617,Tobacco Viol - Age 17,1
78617,Tobacco Viol - Under Age 17,2
78617,Trafficking Of Persons,6
78617,Ucw License Premise,1
78617,Unlawful Carrying Weapon,21
78617,Unlawful Restraint,3
78617,Unlawful Restraint Fam/Dat Vio,7
78617,Urinating In Public Place,5
78617,Viol City Ordinance -  Game Rm,2
78617,Viol City Ordinance - Curfew,62
78617,Viol City Ordinance - Dog,49
78617,Viol City Ordinance - Wrecker,14
78617,Viol City Ordinance -Firework,7
78617,Viol Civil Rights Prisoner,1
78617,Viol Of Bond Conditions,1
78617,Viol Of Court Order-Non Epo-Po,71
78617,Viol Of Emerg Protective Order,21
78617,Viol Of Park Curfew,1
78617,Viol Of Protective Order,45
78617,Viol State Law - Other,93
78617,Viol Temp Ex Parte  Order,2
78617,Violation City Ordinance,37
78617,Voco - Alcohol  Consumption,6
78617,Voco Amplified Music/Vehicle,8
78617,Voco Solicitation Prohibit,3
78617,Warrant Arrest Non Traffic,279
78617,Weapon Viol - Other,1
78652,Aggravated Assault,5
78652,Arson,1
78652,Assault By Contact,8
78652,Assault By Threat,3
78652,Assault With Injury,10
78652,Auto Theft,4
78652,Breach Of Computer Security,1
78652,Burglary Non Residence,4
78652,Burglary Of Residence,15
78652,Burglary Of Vehicle,40
78652,Child Custody Interfere,4
78652,Child Endangerment- Abandonmen,1
78652,Cred Card Abuse By Forgery,4
78652,Criminal Mischief,13
78652,Custody Arrest Traffic Warr,2
78652,DWI,14
78652,Damage City Prop,1
78652,Damage City Vehicle,1
78652,Dating Disturbance,3
78652,Debit/Credit Card Abuse,9
78652,Disturbance - Other,6
78652,Doc Exposure,1
78652,Driving While Intox / Felony,1
78652,Dwi  .15 Bac Or Above,3
78652,Dwi - Child Passenger,1
78652,Evading Vehicle,1
78652,Failure To Identify,2
78652,Family Disturbance,73
78652,Felony Enhancement/Asslt W/Inj,1
78652,Forgery - Other,2
78652,Forgery And Passing,26
78652,Fraud - Other,9
78652,Harassment,13
78652,Identity Theft,6
78652,Indecent Assault,1
78652,Inhalant Abuse,1
78652,Inj To Elderly   Fam/Date Viol,1
78652,Inj/Child Fv (No Care/Custody),1
78652,Injury To Child,2
78652,Narcotic Possession,4
78652,Obscene Display - Distribution,1
78652,Poss Dang Drug,1
78652,Possession Of Marijuana,7
78652,Possession of Drug,1
78652,Prowler,1
78652,Terroristic Threat,4
78652,Theft,38
78652,Theft By Shoplifting,7
78652,Theft From Building,2
78652,Theft Of Metal,6
78652,Theft Of Service,3
78652,Theft Of Trailer,2
78652,Unlawful Carry-Lic Holder,1
78652,Unlawful Carrying Weapon,1
78652,Urinating In Public Place,1
78652,Viol City Ordinance - Dog,1
78652,Voco Solicitation Prohibit,1
78653,Agg Aslt W/Motor Veh Fam/Dat V,1
78653,Agg Assault With Motor Veh,1
78653,Aggravated Assault,11
78653,Aggravated Robbery,3
78653,Arson,3
78653,Assault By Contact,6
78653,Assault By Threat,6
78653,Assault On Peace Officer,1
78653,Assault With Injury,19
78653,Auto Theft,24
78653,Burglary Non Residence,15
78653,Burglary Of Residence,4
78653,Burglary Of Shed/Detached Garage/Storage Unit,1
78653,Burglary Of Vehicle,26
78653,Child Custody Interfere,1
78653,Child Endangerment- Abandonmen,1
78653,Counterfeiting,2
78653,Crash/Fail Stop And Render Aid,3
78653,Crash/Intox Manslaughter,2
78653,Crash/Intoxication Assault,1
78653,Cred Card Abuse By Forgery,6
78653,Criminal Mischief,21
78653,Criminal Trespass,6
78653,Cruelty To Animals,7
78653,Custody Arrest Traffic Warr,6
78653,DWI,44
78653,Damage City Prop,5
78653,Damage City Vehicle,2
78653,Dating Disturbance,4
78653,Deadly Conduct,2
78653,Debit/Credit Card Abuse,35
78653,Disturbance - Other,10
78653,Doc Discharge Gun - Pub Place,1
78653,Doc Display Gun/Deadly Pub Plc,1
78653,Doc Offensive Gesture,1
78653,Driving While Intox / Felony,5
78653,Dwi  .15 Bac Or Above,4
78653,Dwi - Drug Recognition Expert,1
78653,False Alarm Or Report,1
78653,Family Disturbance,25
78653,Felony Enhancement/Asslt W/Inj,1
78653,Forgery - Other,1
78653,Fraud - Other,3
78653,Harassment,5
78653,Harassment Online,1
78653,Identity Theft,5
78653,Immigration Hold/Arrest,1
78653,Indecent Exposure,1
78653,Liquor Law Violation/Other,1
78653,Murder,1
78653,Narcotic Possession,7
78653,Online Impersonation,1
78653,Poss Of Firearm By Felon,1
78653,Poss/Promo Child Pornography,1
78653,Possession Of Marijuana,7
78653,Possession of Drug,1
78653,Terroristic Threat,4
78653,Theft,37
78653,Theft By False Pretext/Bunco,1
78653,Theft By Shoplifting,11
78653,Theft Catalytic Converter,2
78653,Theft From Auto,3
78653,Theft From Building,1
78653,Theft Of Auto Parts,10
78653,Theft Of Heavy Equipment,1
78653,Theft Of License Plate,2
78653,Theft Of Metal,1
78653,Theft Of Service,2
78653,Theft Of Trailer,3
78653,Unlawful Carrying Weapon,3
78653,Viol City Ordinance - Wrecker,1
78653,Viol Of Protective Order,1
78653,Violation City Ordinance,2
78653,Warrant Arrest Non Traffic,4
78660,Abuse Of 911,1
78660,Agg Aslt Enhanc Strangl/Suffoc,1
78660,Agg Aslt W/Motor Veh Fam/Dat V,2
78660,Agg Assault On Peace Officer,1
78660,Agg Assault With Motor Veh,10
78660,Agg Robbery By Assault,2
78660,Aggravated Assault,150
78660,Aggravated Robbery,55
78660,Applic To Revoke Probation,2
78660,Arson,4
78660,Arson-Criminal Mischief,1
78660,Assault By Contact,175
78660,Assault By Threat,101
78660,Assault Of Pregnant Wm-Fam/Dat,1
78660,Assault On Public Servant,2
78660,Assault With Injury,457
78660,Att Burglary Non Residence,1
78660,Att Theft,2
78660,Auto Theft,292
78660,Breach Of Computer Security,8
78660,Burglary Non Residence,191
78660,Burglary Of Coin-Op Machine,6
78660,Burglary Of Residence,89
78660,Burglary Of Shed/Detached Garage/Storage Unit,29
78660,Burglary Of Vehicle,1257
78660,Camping In Park,6
78660,Child Custody Interfere,40
78660,Child Endangerment- Abandonmen,12
78660,Civil Disturbance/Demo,1
78660,Compelling Prostitution,1
78660,Counterfeiting,17
78660,Crash/Fail Stop And Render Aid,66
78660,Crash/Intoxication Assault,4
78660,Cred Card Abuse By Forgery,31
78660,Criminal Mischief,454
78660,Criminal Trespass,104
78660,Criminal Trespass/In Vehicle,3
78660,Cruelty To Animals,4
78660,Custody Arrest Traffic Warr,59
78660,DWI,314
78660,Damage City Prop,5
78660,Damage City Vehicle,7
78660,Dating Disturbance,68
78660,Deadly Conduct,20
78660,Deadly Conduct Fam/Date Viol,1
78660,Debit/Credit Card Abuse,138
78660,Del Marijuana,1
78660,Distrib Harmful Material Minor,1
78660,Disturbance - Other,247
78660,Doc Discharge Gun - Pub Place,6
78660,Doc Display Gun/Deadly Pub Plc,11
78660,Doc Exposure,3
78660,Doc Fighting,13
78660,Doc Offensive Gesture,1
78660,Doc Unreasonable Noise,1
78660,Driving While Intox / Felony,17
78660,Dui - Age 17 To 20,1
78660,Dumping Refuse Near Highway,2
78660,Dwi  .15 Bac Or Above,41
78660,Dwi - Child Passenger,8
78660,Dwi - Drug Recognition Expert,6
78660,Evading / Foot,2
78660,Evading / Vehicle Pursuit,1
78660,Evading Vehicle,7
78660,Expired-Att Agg Robbery/Weap,1
78660,Explosive Ordnance Disposal,3
78660,Failure To Identify,5
78660,False Alarm Or Report,4
78660,False Report To Peace Officer,3
78660,False Statement -Obtain Credit,3
78660,Family Disturbance,628
78660,Federal Viol/Other,1
78660,Felony Enhancement/Asslt W/Inj,6
78660,Forgery - Other,27
78660,Forgery And Passing,172
78660,Forgery By Making,10
78660,Forgery- Certificate Of Title,1
78660,Fraud - Other,81
78660,Fraud Destruction Of A Writing,2
78660,Fraud Filing Finance Statement,1
78660,Fraud-Card Skimmer,1
78660,Gambling,1
78660,Graffiti,9
78660,Harassment,167
78660,Harassment Of A Public Servant,2
78660,Hinder Secured Creditors,3
78660,Hindering Apprehension,2
78660,Identity Theft,74
78660,Illegal Labelling Of Recording,1
78660,Immigration Hold/Arrest,1
78660,Impersonating Public Servant,1
78660,Indecent Assault,3
78660,Indecent Exposure,6
78660,Inhalant Abuse,2
78660,Inj To Elderly   Fam/Date Viol,4
78660,Inj/Child Fv (No Care/Custody),1
78660,Injury Disabled Individual,2
78660,Injury To Child,6
78660,Injury To Child (Care/Custody),5
78660,Kidnapping,3
78660,Littering,3
78660,Mail Theft,17
78660,Manslaughter,1
78660,Murder,3
78660,Narcotic Possession,77
78660,Nuisance Abatement,2
78660,Obtain Controlled Sub By Fraud,4
78660,Online Impersonation,4
78660,Online Solicitation Of A Minor,1
78660,Pigeon Drop,1
78660,Poss Dang Drug,3
78660,Poss Of Alcohol - Age 17 To 20,1
78660,Poss Of Firearm By Felon,6
78660,Poss Of Prohibited Weapon,3
78660,Possession Of Marijuana,74
78660,Possession of Drug,24
78660,Probation Viol,1
78660,Prostitution,2
78660,Protective Order,24
78660,Prowler,1
78660,Public Lewdness,1
78660,Purse Snatching,1
78660,Reckless Damage,5
78660,Rental Car/Fail To Return,1
78660,Resisting Arrest Or Search,4
78660,Retaliation,1
78660,Robbery By Threat,4
78660,Stalking,4
78660,Take Weapon Frm Police Officer,3
78660,Tampering With Gov Record,2
78660,Terroristic Threat,56
78660,Terroristic Threat-Mass Caslty,3
78660,Theft,896
78660,Theft By Embezzlement,5
78660,Theft By Extortion,1
78660,Theft By Shoplifting,486
78660,Theft Catalytic Converter,45
78660,Theft From Auto,45
78660,Theft From Building,21
78660,Theft From Person,8
78660,Theft Of Auto Parts,22
78660,Theft Of Bicycle,20
78660,Theft Of Heavy Equipment,4
78660,Theft Of License Plate,50
78660,Theft Of Metal,32
78660,Theft Of Service,147
78660,Theft Of Trailer,18
78660,Trademark Counterfeiting,1
78660,Trafficking Of Persons,1
78660,Unlawful Carry-Lic Holder,1
78660,Unlawful Carrying Weapon,21
78660,Unlawful Restraint Fam/Dat Vio,2
78660,Urinating In Public Place,5
78660,Viol City Ordinance - Curfew,2
78660,Viol City Ordinance - Dog,5
78660,Viol City Ordinance - Wrecker,6
78660,Viol Of Bond Conditions,2
78660,Viol Of Court Order-Non Epo-Po,3
78660,Viol Of Emerg Protective Order,3
78660,Viol Of Protective Order,13
78660,Viol State Law - Other,11
78660,Viol Temp Ex Parte  Order,3
78660,Violation City Ordinance,10
78660,Voco Amplified Music/Vehicle,29
78660,Voco Solicitation Prohibit,26
78660,Warrant Arrest Non Traffic,68
78660,Weapon Viol - Other,2
78664,Burglary Of Vehicle,1
78681,Assault With Injury,1
78681,Auto Theft,1
78681,DWI,3
78681,Damage City Vehicle,1
78681,Disturbance - Other,1
78681,Narcotic Possession,1
78681,Theft,1
78681,Warrant Arrest Non Traffic,1
78701,Abandoned Refrigerator,1
78701,Abuse Of 911,8
78701,Abuse Of Official Capacity,5
78701,Agg Aslt Enhanc Strangl/Suffoc,19
78701,Agg Aslt W/Motor Veh Fam/Dat V,19
78701,Agg Assault By Public Servant,6
78701,Agg Assault On Peace Officer,19
78701,Agg Assault On Public Servant,35
78701,Agg Assault With Motor Veh,93
78701,Agg Kidnapping,1
78701,Agg Perjury,2
78701,Agg Robbery By Assault,42
78701,Aggravated Assault,1979
78701,Aggravated Robbery,1287
78701,Airport - Criminal Trespass,2
78701,Applic To Revoke Probation,127
78701,Arson,53
78701,Arson-Criminal Mischief,23
78701,Assault By Contact,3070
78701,Assault By Threat,1044
78701,Assault Of A Pregnant Woman,2
78701,Assault Of Pregnant Wm-Fam/Dat,6
78701,Assault On Peace Officer,66
78701,Assault On Public Servant,570
78701,Assault With Injury,9987
78701,Att Arson,2
78701,Att Auto Theft,3
78701,Att Burglary Non Residence,5
78701,Att Theft,6
78701,Attack On Assistance Animal,1
78701,Auto Theft,1817
78701,Bail Jumping/Fail To Appear,2
78701,Bank Kiting,7
78701,Bomb Threat,69
78701,Breach Of Computer Security,101
78701,Bribery,1
78701,Burglary Non Residence,1479
78701,Burglary Of Coin-Op Machine,107
78701,Burglary Of Residence,402
78701,Burglary Of Shed/Detached Garage/Storage Unit,79
78701,Burglary Of Vehicle,10201
78701,Camping In Park,2793
78701,Capital Murder,1
78701,Child Custody Interfere,96
78701,Child Endangerment- Abandonmen,79
78701,Civil Disturbance/Demo,28
78701,Commercial Bribery,1
78701,Compelling Prostitution,1
78701,Contempt Of Court,4
78701,Controlled Sub Viol - Other,3
78701,Counterfeiting,157
78701,Crash/Fail Stop And Render Aid,461
78701,Crash/Intox Manslaughter,1
78701,Crash/Intoxication Assault,15
78701,Cred Card Abuse - Expir-Cancel,11
78701,Cred Card Abuse By Forgery,406
78701,Crim Neg Homicide/Non Traffic,1
78701,Criminal Conspiracy,1
78701,Criminal Mischief,6384
78701,Criminal Nonsupport,1
78701,Criminal Solicitation,9
78701,Criminal Solicitation Of Minor,3
78701,Criminal Trespass,6782
78701,Criminal Trespass/In Vehicle,22
78701,Cruelty To Animals,87
78701,Custody Arrest Traffic Warr,2587
78701,DWI,9427
78701,Damage City Prop,1128
78701,Damage City Vehicle,153
78701,Dang Drug Viol - Other,9
78701,Dating Disturbance,659
78701,Deadly Conduct,95
78701,Deadly Conduct Fam/Date Viol,1
78701,Debit/Credit Card Abuse,1618
78701,Del Marijuana,29
78701,Del Of Alcohol To Minor,7
78701,Del Of Dang Drug,5
78701,Del Synthetic Marijuana,98
78701,Disposal Of Solid Waste,2
78701,Disrupting Meeting/Procession,7
78701,Disruption Of Classes,1
78701,Disturbance - Other,3407
78701,Doc Abuse Or Threat,42
78701,Doc Abusive Language,169
78701,Doc Creating Noxious Odor,2
78701,Doc Discharge Gun - Pub Place,36
78701,Doc Discharge Gun - Pub Road,5
78701,Doc Display Gun/Deadly Pub Plc,75
78701,Doc Exposure,293
78701,Doc Fighting,2246
78701,Doc Offensive Gesture,59
78701,Doc Unreasonable Noise,145
78701,Doc Window Peeping - Hotel,2
78701,Driving While Intox / Felony,277
78701,Dui - Age 16 And Under,8
78701,Dui - Age 17 To 20,118
78701,Dumping Refuse Near Highway,5
78701,Dwi  .15 Bac Or Above,540
78701,Dwi - Child Passenger,24
78701,Dwi - Drug Recognition Expert,84
78701,Engaging In Organized Crime,6
78701,Escape From Custody,19
78701,Evading / Foot,486
78701,Evading / Vehicle Pursuit,64
78701,Evading Vehicle,202
78701,Exp-Viol City Ordinance - Taxi,7
78701,Expired - Deadly Assault,1
78701,Expired-Att Agg Robbery/Weap,2
78701,Expired-Att Capital Murder,1
78701,Expired-Att Obt Cont Sub Fraud,3
78701,Expired-Att Robbery By Assault,2
78701,Expired-Evading Arrest,11
78701,Exploitation Of Child/Elderly,3
78701,Explosive Ordnance Disposal,148
78701,Fail Display Handgun License,1
78701,Fail To Register - Adult Vic,3
78701,Fail To Register- Minor Vic,28
78701,Failure To Identify,748
78701,False Alarm Or Report,95
78701,False Report To Peace Officer,61
78701,False Statement -Obtain Credit,16
78701,Family Disturbance,2441
78701,Federal Viol/Other,34
78701,Felony Enhancement/Asslt W/Inj,124
78701,Forgery - Other,176
78701,Forgery And Passing,699
78701,Forgery By Making,110
78701,Forgery Of Identification,18
78701,Forgery- Certificate Of Title,5
78701,Fraud - Other,684
78701,Fraud Destruction Of A Writing,1
78701,Fraud Filing Finance Statement,8
78701,Fraud-Card Skimmer,2
78701,Gambling,34
78701,Gambling Promotion,1
78701,Graffiti,716
78701,Harassment,1690
78701,Harassment Of A Public Servant,137
78701,Harassment Online,8
78701,Hinder Secured Creditors,12
78701,Hindering Apprehension,5
78701,Hindering Proceeding,7
78701,Identity Theft,945
78701,Identity Theft-Tax Returns,7
78701,Illegal Labelling Of Recording,2
78701,Illumin Aircraft Intense Light,2
78701,Immigration Hold/Arrest,7
78701,Impersonating Public Servant,46
78701,Indecent Assault,42
78701,Indecent Exposure,269
78701,Inhalant Abuse,4
78701,Inj To Disabled  Fam/Date Viol,3
78701,Inj To Elderly   Fam/Date Viol,2
78701,Inj/Child Fv (No Care/Custody),1
78701,Injury Disabled Individual,40
78701,Injury To Child,23
78701,Injury To Child (Care/Custody),16
78701,Injury To Elderly Person,53
78701,Inter Emerg Phonecall Fam/Date,1
78701,Interfere W Po Service Animals,218
78701,Interference Public Duties,151
78701,Interfering W/Emerg Phone Call,2
78701,Justified Homicide,2
78701,Kidnapping,16
78701,Liquor Law Violation/Other,259
